scope,model_id,benchmark_id,always_protocol,separate_decision_protocol,single_decision_protocol,reported_protocol,common_complete,initially_incorrect,repair,initially_correct,regression,repair_minus_regression
pooled,,,r,dr,sc_dr,r,10032,4369,56,5663,22,34
pooled,,,r,dr,sc_dr,dr,10032,4369,25,5663,4,21
pooled,,,r,dr,sc_dr,sc_dr,10032,4369,64,5663,36,28
pooled,,,cr,dcr,sc_dcr,cr,10020,4359,222,5661,615,-393
pooled,,,cr,dcr,sc_dcr,dcr,10020,4359,73,5661,70,3
pooled,,,cr,dcr,sc_dcr,sc_dcr,10020,4359,68,5661,60,8
pooled,,,cpr,dcpr,sc_dcpr,cpr,10018,4356,209,5662,726,-517
pooled,,,cpr,dcpr,sc_dcpr,dcpr,10018,4356,73,5662,79,-6
pooled,,,cpr,dcpr,sc_dcpr,sc_dcpr,10018,4356,96,5662,111,-15
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,dr,sc_dr,r,1129,694,2,435,4,-2
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,dr,sc_dr,dr,1129,694,0,435,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,dr,sc_dr,sc_dr,1129,694,6,435,6,0
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,cr,1128,693,33,435,100,-67
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,dcr,1128,693,0,435,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,sc_dcr,1128,693,5,435,8,-3
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,cpr,1127,692,28,435,114,-86
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,dcpr,1127,692,0,435,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,sc_dcpr,1127,692,4,435,14,-10
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,r,dr,sc_dr,r,162,36,1,126,2,-1
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,r,dr,sc_dr,dr,162,36,0,126,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,r,dr,sc_dr,sc_dr,162,36,0,126,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,dcr,sc_dcr,cr,160,35,7,125,17,-10
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,dcr,sc_dcr,dcr,160,35,0,125,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,dcr,sc_dcr,sc_dcr,160,35,1,125,1,0
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,cpr,160,35,7,125,21,-14
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,dcpr,160,35,0,125,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,sc_dcpr,160,35,0,125,1,-1
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,r,dr,sc_dr,r,374,98,2,276,1,1
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,r,dr,sc_dr,dr,374,98,0,276,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,r,dr,sc_dr,sc_dr,374,98,2,276,4,-2
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,dcr,sc_dcr,cr,373,97,11,276,52,-41
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,dcr,sc_dcr,dcr,373,97,0,276,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,dcr,sc_dcr,sc_dcr,373,97,3,276,8,-5
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,cpr,374,98,5,276,57,-52
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,dcpr,374,98,0,276,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,sc_dcpr,374,98,2,276,9,-7
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,r,dr,sc_dr,r,1136,598,8,538,4,4
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,r,dr,sc_dr,dr,1136,598,3,538,1,2
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,r,dr,sc_dr,sc_dr,1136,598,9,538,5,4
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,cr,1134,597,28,537,109,-81
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,dcr,1134,597,2,537,2,0
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,sc_dcr,1134,597,12,537,8,4
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,cpr,1133,595,31,538,139,-108
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,dcpr,1133,595,4,538,2,2
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,sc_dcpr,1133,595,15,538,15,0
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,r,dr,sc_dr,r,161,23,3,138,0,3
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,r,dr,sc_dr,dr,161,23,0,138,0,0
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,r,dr,sc_dr,sc_dr,161,23,2,138,1,1
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cr,dcr,sc_dcr,cr,161,23,7,138,9,-2
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cr,dcr,sc_dcr,dcr,161,23,2,138,0,2
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cr,dcr,sc_dcr,sc_dcr,161,23,3,138,0,3
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,cpr,161,23,7,138,11,-4
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,dcpr,161,23,2,138,1,1
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,sc_dcpr,161,23,4,138,5,-1
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,r,dr,sc_dr,r,377,113,1,264,0,1
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,r,dr,sc_dr,dr,377,113,0,264,0,0
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,r,dr,sc_dr,sc_dr,377,113,5,264,3,2
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cr,dcr,sc_dcr,cr,376,112,12,264,14,-2
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cr,dcr,sc_dcr,dcr,376,112,4,264,1,3
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cr,dcr,sc_dcr,sc_dcr,376,112,5,264,6,-1
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,cpr,376,112,11,264,22,-11
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,dcpr,376,112,4,264,2,2
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,sc_dcpr,376,112,9,264,9,0
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,dr,sc_dr,r,1136,567,9,569,4,5
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,dr,sc_dr,dr,1136,567,2,569,2,0
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,dr,sc_dr,sc_dr,1136,567,6,569,3,3
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,dcr,sc_dcr,cr,1136,567,14,569,23,-9
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,dcr,sc_dcr,dcr,1136,567,8,569,14,-6
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,dcr,sc_dcr,sc_dcr,1136,567,7,569,6,1
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,dcpr,sc_dcpr,cpr,1136,567,14,569,26,-12
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,dcpr,sc_dcpr,dcpr,1136,567,6,569,15,-9
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,dcpr,sc_dcpr,sc_dcpr,1136,567,9,569,4,5
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,r,dr,sc_dr,r,161,5,0,156,1,-1
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,r,dr,sc_dr,dr,161,5,0,156,0,0
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,r,dr,sc_dr,sc_dr,161,5,0,156,1,-1
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,dcr,sc_dcr,cr,161,5,0,156,5,-5
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,dcr,sc_dcr,dcr,161,5,0,156,2,-2
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,dcr,sc_dcr,sc_dcr,161,5,0,156,1,-1
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,dcpr,sc_dcpr,cpr,161,5,0,156,5,-5
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,dcpr,sc_dcpr,dcpr,161,5,0,156,2,-2
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,dcpr,sc_dcpr,sc_dcpr,161,5,0,156,1,-1
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,r,dr,sc_dr,r,377,74,4,303,0,4
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,r,dr,sc_dr,dr,377,74,4,303,0,4
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,r,dr,sc_dr,sc_dr,377,74,6,303,0,6
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,dcr,sc_dcr,cr,377,74,8,303,6,2
