scope,model_id,benchmark_id,left_protocol,right_protocol,common_complete,initially_incorrect,left_repairs,right_repairs,repair_both,repair_left_only,repair_right_only,repair_jaccard,initially_correct,left_regressions,right_regressions,regression_both,regression_left_only,regression_right_only,regression_jaccard
pooled,,,cr,sc_cr,10021,4360,222,86,50,172,36,0.1937984496124031,5661,615,83,44,571,39,0.0672782874617737
pooled,,,cpr,sc_cpr,10018,4356,209,94,57,152,37,0.23170731707317074,5662,726,289,96,630,193,0.1044613710554951
pooled,,,dr,sc_dr,10032,4369,25,64,22,3,42,0.3283582089552239,5663,4,36,3,1,33,0.08108108108108109
pooled,,,dcr,sc_dcr,10028,4365,73,68,26,47,42,0.22608695652173913,5663,70,60,12,58,48,0.1016949152542373
pooled,,,dcpr,sc_dcpr,10026,4363,73,96,36,37,60,0.2706766917293233,5663,79,111,25,54,86,0.15151515151515152
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,sc_cr,1128,693,33,7,4,29,3,0.1111111111111111,435,100,29,16,84,13,0.1415929203539823
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,sc_cpr,1126,691,28,6,4,24,2,0.13333333333333333,435,114,191,57,57,134,0.22983870967741934
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr,sc_dr,1129,694,0,6,0,0,6,0.0,435,0,6,0,0,6,0.0
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr,sc_dcr,1129,694,0,5,0,0,5,0.0,435,0,8,0,0,8,0.0
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1129,694,0,4,0,0,4,0.0,435,0,14,0,0,14,0.0
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,sc_cr,160,35,7,2,1,6,1,0.125,125,17,6,2,15,4,0.09523809523809523
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,sc_cpr,160,35,7,3,3,4,0,0.42857142857142855,125,21,29,5,16,24,0.1111111111111111
