protocol,common_complete_model_tasks,correct,pass_rate,end_to_end_tokens,tokens_per_model_task,pareto_efficient,dominated_by
cpr,10006,5144,0.5140915450729562,30604930,3058.65780531681,false,"[""cr"",""dcpr"",""dcr"",""direct"",""dr"",""r"",""sc_cpr"",""sc_cr"",""sc_dcpr"",""sc_dcr"",""sc_dr""]"
cr,10006,5268,0.5264841095342795,22518147,2250.4644213471915,false,"[""dcpr"",""dcr"",""direct"",""dr"",""r"",""sc_cpr"",""sc_cr"",""sc_dcpr"",""sc_dcr"",""sc_dr""]"
dcpr,10006,5655,0.5651609034579252,11865977,1185.8861682990205,false,"[""dcr"",""direct"",""dr"",""r""]"
dcr,10006,5664,0.566060363781731,10988277,1098.1687987207674,false,"[""dr""]"
direct,10006,5661,0.5657605436737957,4606884,460.41215270837495,true,[]
dr,10006,5682,0.5678592844293424,9743274,973.7431541075355,true,[]
r,10006,5695,0.5691585048970618,11664948,1165.795322806316,true,[]
sc_cpr,10006,5466,0.5462722366580052,12543716,1253.6194283429943,false,"[""dcpr"",""dcr"",""direct"",""dr"",""r"",""sc_cr"",""sc_dcr"",""sc_dr""]"
sc_cr,10006,5664,0.566060363781731,12003333,1199.6135318808715,false,"[""dcr"",""dr"",""r""]"
sc_dcpr,10006,5646,0.5642614431341195,12556541,1254.9011593044174,false,"[""dcpr"",""dcr"",""direct"",""dr"",""r"",""sc_cr"",""sc_dcr"",""sc_dr""]"
sc_dcr,10006,5669,0.5665600639616231,12347847,1234.0442734359385,false,"[""dr"",""r"",""sc_dr""]"
sc_dr,10006,5689,0.5685588646811913,12173540,1216.6240255846492,false,"[""r""]"
