sensitivity,model_id,benchmark_id,always_refine_protocol,decision_protocol,common_functional_transition_tasks,excluded_from_functional_transition_comparison,initially_incorrect_common,always_refine_repairs,decision_conditioned_repairs,always_refine_repair_rate,decision_conditioned_repair_rate,repair_rate_difference,lost_repairs,initially_correct_common,always_refine_regressions,decision_conditioned_regressions,always_refine_regression_rate,decision_conditioned_regression_rate,regression_rate_difference,prevented_regressions,always_refine_net_gain_count,decision_conditioned_net_gain_count,net_correct_difference_count,net_correct_difference_rate
all_resolved,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,dr,1128,7,693,2,0,0.002886002886002886,0.0,-0.002886002886002886,2,435,4,0,0.009195402298850575,0.0,-0.009195402298850575,4,-2,0,2,0.0017730496453900709
all_resolved,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,dcr,1127,8,692,33,0,0.0476878612716763,0.0,-0.0476878612716763,33,435,100,0,0.22988505747126436,0.0,-0.22988505747126436,100,-67,0,67,0.05944986690328305
all_resolved,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,dcpr,1126,9,691,28,0,0.04052098408104197,0.0,-0.04052098408104197,28,435,114,0,0.2620689655172414,0.0,-0.2620689655172414,114,-86,0,86,0.0763765541740675
all_resolved,deepseek-coder-v2-lite-instruct,humaneval_plus,r,dr,162,1,36,1,0,0.027777777777777776,0.0,-0.027777777777777776,1,126,2,0,0.015873015873015872,0.0,-0.015873015873015872,2,-1,0,1,0.006172839506172839
all_resolved,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,dcr,160,3,35,7,0,0.2,0.0,-0.2,7,125,17,0,0.136,0.0,-0.136,17,-10,0,10,0.0625
all_resolved,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,dcpr,160,3,35,7,0,0.2,0.0,-0.2,7,125,21,0,0.168,0.0,-0.168,21,-14,0,14,0.0875
all_resolved,deepseek-coder-v2-lite-instruct,mbpp_plus,r,dr,374,4,98,2,0,0.02040816326530612,0.0,-0.02040816326530612,2,276,1,0,0.0036231884057971015,0.0,-0.0036231884057971015,1,1,0,-1,-0.00267379679144385
all_resolved,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,dcr,373,5,97,11,0,0.1134020618556701,0.0,-0.1134020618556701,11,276,52,0,0.18840579710144928,0.0,-0.18840579710144928,52,-41,0,41,0.10991957104557641
all_resolved,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,dcpr,374,4,98,5,0,0.05102040816326531,0.0,-0.05102040816326531,5,276,57,0,0.20652173913043478,0.0,-0.20652173913043478,57,-52,0,52,0.13903743315508021
all_resolved,devstral-small-2-24b-instruct,bigcodebench_instruct,r,dr,1136,0,598,8,3,0.013377926421404682,0.005016722408026756,-0.008361204013377926,5,538,4,1,0.007434944237918215,0.0018587360594795538,-0.0055762081784386614,3,4,2,-2,-0.0017605633802816902
