model_id,benchmark_id,multi_call_protocol,single_call_protocol,lhs_protocol,rhs_protocol,total_tasks,paired_complete,excluded,excluded_reasons,paired_difference,bootstrap_ci_low,bootstrap_ci_high,improved,worsened,unchanged,mcnemar_exact_two_sided_p,lhs_pass_rate,rhs_pass_rate
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,sc_cr,cr,sc_cr,1136,1128,8,"{""indeterminate_functional_outcome"":8}",0.0398936170212766,0.020390070921985817,0.05939716312056738,87,42,999,9.206613802682593e-05,0.3262411347517731,0.36613475177304966
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,sc_cpr,cpr,sc_cpr,1136,1127,9,"{""indeterminate_functional_outcome"":9}",-0.0878438331854481,-0.1126885536823425,-0.062111801242236024,59,158,910,1.2676059124257464e-11,0.30967169476486245,0.22182786157941436
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr,sc_dr,dr,sc_dr,1136,1129,7,"{""indeterminate_functional_outcome"":7}",0.0,-0.006200177147918512,0.006200177147918512,6,6,1117,1.0,0.3852967227635075,0.3852967227635075
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr,sc_dcr,dcr,sc_dcr,1136,1129,7,"{""indeterminate_functional_outcome"":7}",-0.002657218777679362,-0.008857395925597875,0.00354295837023915,5,8,1116,0.5810546875,0.3852967227635075,0.3826395039858282
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr,sc_dcpr,dcpr,sc_dcpr,1136,1129,7,"{""indeterminate_functional_outcome"":7}",-0.008857395925597875,-0.01682905225863596,-0.001771479185119575,4,14,1111,0.0308837890625,0.3852967227635075,0.37643932683790965
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,sc_cr,cr,sc_cr,163,160,3,"{""indeterminate_functional_outcome"":3}",0.0375,-0.025,0.1,16,10,134,0.32693958282470703,0.71875,0.75625
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,sc_cpr,cpr,sc_cpr,163,160,3,"{""indeterminate_functional_outcome"":3}",-0.075,-0.15625,0.00625,16,28,116,0.09614175442061423,0.69375,0.61875
deepseek-coder-v2-lite-instruct,humaneval_plus,dr,sc_dr,dr,sc_dr,163,162,1,"{""indeterminate_functional_outcome"":1}",0.0,0.0,0.0,0,0,162,,0.7777777777777778,0.7777777777777778
deepseek-coder-v2-lite-instruct,humaneval_plus,dcr,sc_dcr,dcr,sc_dcr,163,162,1,"{""indeterminate_functional_outcome"":1}",0.0,-0.018518518518518517,0.018518518518518517,1,1,160,1.0,0.7777777777777778,0.7777777777777778
deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr,sc_dcpr,dcpr,sc_dcpr,163,162,1,"{""indeterminate_functional_outcome"":1}",-0.006172839506172839,-0.018518518518518517,0.0,0,1,161,1.0,0.7777777777777778,0.7716049382716049
deepseek-coder-v2-lite-instruct,mbpp_plus,cr,sc_cr,cr,sc_cr,378,373,5,"{""indeterminate_functional_outcome"":5}",0.10723860589812333,0.06702412868632708,0.14745308310991956,52,12,309,4.5666107004454105e-07,0.6300268096514745,0.7372654155495979
deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,sc_cpr,cpr,sc_cpr,378,374,4,"{""indeterminate_functional_outcome"":4}",0.12032085561497326,0.08021390374331551,0.16042780748663102,55,10,309,1.1753602809018611e-08,0.5989304812834224,0.7192513368983957
deepseek-coder-v2-lite-instruct,mbpp_plus,dr,sc_dr,dr,sc_dr,378,374,4,"{""indeterminate_functional_outcome"":4}",-0.0053475935828877,-0.01871657754010695,0.008021390374331552,2,4,368,0.6875,0.7379679144385026,0.732620320855615
deepseek-coder-v2-lite-instruct,mbpp_plus,dcr,sc_dcr,dcr,sc_dcr,378,374,4,"{""indeterminate_functional_outcome"":4}",-0.013368983957219251,-0.029478609625667857,0.00267379679144385,3,8,363,0.2265625,0.7379679144385026,0.7245989304812834
