model_id,benchmark_id,protocol,total_rows,exact_label,invalid_label,preserve_changed,preserve_unchanged,refine_changed,refine_unchanged,behavior_label_inconsistency,behavior_label_inconsistency_rate
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,1136,1135,0,108,998,23,6,114,0.10044052863436123
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,1136,1135,0,64,1004,48,14,78,0.06872246696035242
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,1136,1135,0,44,1024,42,7,51,0.044933920704845816
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dr,163,163,0,3,156,3,1,4,0.024539877300613498
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dcr,163,163,0,4,154,4,0,4,0.024539877300613498
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dcpr,163,163,0,3,156,2,0,3,0.018404907975460124
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dr,378,378,0,14,348,6,9,23,0.06084656084656084
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dcr,378,378,0,6,342,15,6,12,0.031746031746031744
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dcpr,378,378,0,7,348,11,0,7,0.018518518518518517
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dr,1136,1136,0,4,928,120,84,88,0.07746478873239436
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dcr,1136,1136,0,5,844,163,124,129,0.11355633802816902
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dcpr,1136,1136,0,4,828,215,89,93,0.0818661971830986
devstral-small-2-24b-instruct,humaneval_plus,sc_dr,163,163,0,0,140,13,10,10,0.06134969325153374
devstral-small-2-24b-instruct,humaneval_plus,sc_dcr,163,163,0,0,137,13,13,13,0.07975460122699386
devstral-small-2-24b-instruct,humaneval_plus,sc_dcpr,163,163,0,0,133,18,9,9,0.05521472392638037
devstral-small-2-24b-instruct,mbpp_plus,sc_dr,378,376,0,1,337,23,15,16,0.0425531914893617
devstral-small-2-24b-instruct,mbpp_plus,sc_dcr,378,376,0,1,325,25,25,26,0.06914893617021277
devstral-small-2-24b-instruct,mbpp_plus,sc_dcpr,378,376,0,1,318,40,15,16,0.0425531914893617
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dr,1136,1136,0,4,1014,117,1,5,0.0044014084507042256
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dcr,1136,1136,0,8,994,132,2,10,0.008802816901408451
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dcpr,1136,1136,0,7,985,141,2,9,0.007922535211267605
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dr,163,163,0,2,151,9,0,2,0.012269938650306749
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dcr,163,163,0,3,150,9,0,3,0.018404907975460124
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dcpr,163,163,0,3,150,9,0,3,0.018404907975460124
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dr,378,376,0,5,351,17,2,7,0.018617021276595744
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dcr,378,376,0,7,345,22,1,8,0.02127659574468085
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dcpr,378,376,0,6,348,19,1,7,0.018617021276595744
qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_dr,1136,1136,0,24,1087,18,7,31,0.027288732394366196
qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_dcr,1136,1136,0,14,1096,18,8,22,0.01936619718309859
qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_dcpr,1136,1136,0,21,1096,16,3,24,0.02112676056338028
qwen2.5-coder-14b-instruct,humaneval_plus,sc_dr,163,163,0,1,159,2,1,2,0.012269938650306749
qwen2.5-coder-14b-instruct,humaneval_plus,sc_dcr,163,163,0,0,159,3,1,1,0.006134969325153374
qwen2.5-coder-14b-instruct,humaneval_plus,sc_dcpr,163,163,0,1,158,3,1,2,0.012269938650306749
qwen2.5-coder-14b-instruct,mbpp_plus,sc_dr,378,378,0,0,368,8,2,2,0.005291005291005291
qwen2.5-coder-14b-instruct,mbpp_plus,sc_dcr,378,378,0,0,366,7,5,5,0.013227513227513227
qwen2.5-coder-14b-instruct,mbpp_plus,sc_dcpr,378,378,0,1,369,7,1,2,0.005291005291005291
qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dr,1136,1136,0,7,880,83,166,173,0.1522887323943662
qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dcr,1136,1136,0,6,874,98,158,164,0.1443661971830986
qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dcpr,1136,1136,0,10,916,177,32,42,0.03697183098591549
qwen2.5-coder-7b-instruct,humaneval_plus,sc_dr,163,163,0,0,148,2,13,13,0.07975460122699386
