model_id,benchmark_id,stage,call_attempts,tokenized_attempts,input_tokens_total,output_tokens_total,tokens_total,tokens_mean,tokens_median,status_counts
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,critique_conditioned_revision,1135,1135,1235598,305908,1541506,1358.1550660792952,1327,"{""completed"":1135}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,critique_generation,1135,1135,551205,593593,1144798,1008.6325991189427,991,"{""completed"":1135}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,direct_generation,1136,1136,312469,282557,595026,523.7904929577464,495.0,"{""completed"":1135,""extraction_failure"":1}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,direct_revision,1135,1135,627250,279851,907101,799.2079295154185,759,"{""completed"":1135}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,plan_conditioned_revision,1135,1135,1030049,314630,1344679,1184.7392070484582,1134,"{""completed"":1135}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,refinement_need_decision,1135,1135,568230,4673,572903,504.7603524229075,479,"{""completed"":1002,""invalid_response"":133}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,revision_planning,1135,1135,1173173,389206,1562379,1376.5453744493393,1328,"{""completed"":1135}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,single_call_cpr,1135,1135,661300,575581,1236881,1089.7629955947136,1044,"{""completed"":650,""extraction_failure"":485}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,single_call_cr,1135,1135,648815,323881,972696,857.0008810572688,796,"{""completed"":1078,""extraction_failure"":57}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,single_call_dcpr,1135,1135,704430,300970,1005400,885.8149779735683,843,"{""completed"":1117,""extraction_failure"":18}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,single_call_dcr,1135,1135,694215,292088,986303,868.9894273127753,830,"{""completed"":1130,""extraction_failure"":5}"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,single_call_dr,1135,1135,678325,287871,966196,851.2740088105727,814,"{""completed"":1135}"
deepseek-coder-v2-lite-instruct,humaneval_plus,critique_conditioned_revision,163,163,138419,40250,178669,1096.1288343558283,1049,"{""completed"":163}"
deepseek-coder-v2-lite-instruct,humaneval_plus,critique_generation,163,163,75642,49737,125379,769.1963190184049,719,"{""completed"":163}"
deepseek-coder-v2-lite-instruct,humaneval_plus,direct_generation,163,163,42595,38683,81278,498.63803680981596,461,"{""completed"":163}"
deepseek-coder-v2-lite-instruct,humaneval_plus,direct_revision,163,163,86563,38774,125337,768.9386503067485,720,"{""completed"":163}"
deepseek-coder-v2-lite-instruct,humaneval_plus,plan_conditioned_revision,163,163,121044,39597,160641,985.5276073619632,960,"{""completed"":163}"
deepseek-coder-v2-lite-instruct,humaneval_plus,refinement_need_decision,163,163,78087,655,78742,483.07975460122697,446,"{""completed"":160,""invalid_response"":3}"
deepseek-coder-v2-lite-instruct,humaneval_plus,revision_planning,163,163,129454,32528,161982,993.7546012269938,973,"{""completed"":163}"
deepseek-coder-v2-lite-instruct,humaneval_plus,single_call_cpr,163,163,91453,70545,161998,993.8527607361963,957,"{""completed"":129,""extraction_failure"":34}"
deepseek-coder-v2-lite-instruct,humaneval_plus,single_call_cr,163,163,89660,52981,142641,875.0981595092024,807,"{""completed"":156,""extraction_failure"":7}"
deepseek-coder-v2-lite-instruct,humaneval_plus,single_call_dcpr,163,163,97647,41312,138959,852.5092024539878,791,"{""completed"":161,""extraction_failure"":2}"
deepseek-coder-v2-lite-instruct,humaneval_plus,single_call_dcr,163,163,96180,40996,137176,841.5705521472393,782,"{""completed"":162,""extraction_failure"":1}"
