model_id,benchmark_id,model_call_attempts,tokenized_attempts,experimental_input_tokens,experimental_output_tokens,experimental_total_tokens
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,13621,13621,8885059,3950809,12835868
deepseek-coder-v2-lite-instruct,humaneval_plus,1956,1956,1140642,486182,1626824
deepseek-coder-v2-lite-instruct,mbpp_plus,4536,4536,1590667,536368,2127035
devstral-small-2-24b-instruct,bigcodebench_instruct,13632,13632,8173425,3452978,11626403
devstral-small-2-24b-instruct,humaneval_plus,1956,1956,989639,378736,1368375
devstral-small-2-24b-instruct,mbpp_plus,4514,4514,1437980,472775,1910755
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,13632,13632,9423691,4173796,13597487
gemma-4-31b-it-qat-w4a16,humaneval_plus,1956,1956,1082469,411511,1493980
gemma-4-31b-it-qat-w4a16,mbpp_plus,4514,4514,1951101,812094,2763195
qwen2.5-coder-14b-instruct,bigcodebench_instruct,13632,13632,7152205,2439946,9592151
qwen2.5-coder-14b-instruct,humaneval_plus,1956,1956,943415,306146,1249561
qwen2.5-coder-14b-instruct,mbpp_plus,4536,4536,1522057,468885,1990942
qwen2.5-coder-7b-instruct,bigcodebench_instruct,13632,13632,6897697,2235476,9133173
qwen2.5-coder-7b-instruct,humaneval_plus,1956,1956,876412,256930,1133342
qwen2.5-coder-7b-instruct,mbpp_plus,4536,4536,1474195,439722,1913917
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,13621,13621,8942957,4211860,13154817
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,1934,1934,1043174,509755,1552929
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,4536,4536,1768382,977547,2745929
