scope,model_id,benchmark_id,protocol,repairs,unique_repairs,share_of_union
pooled,,,r,56,2,0.1661721068249258
pooled,,,cr,222,39,0.658753709198813
pooled,,,cpr,209,34,0.6201780415430267
pooled,,,sc_cr,86,8,0.2551928783382789
pooled,,,sc_cpr,94,4,0.2789317507418398
pooled,,,sc_dr,64,4,0.18991097922848665
pooled,,,sc_dcr,68,5,0.20178041543026706
pooled,,,sc_dcpr,96,16,0.28486646884273
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,2,0,0.047619047619047616
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,33,7,0.7857142857142857
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,28,2,0.6666666666666666
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cr,7,1,0.16666666666666666
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cpr,6,0,0.14285714285714285
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,6,1,0.14285714285714285
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,5,0,0.11904761904761904
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,4,1,0.09523809523809523
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,r,1,0,0.1111111111111111
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,7,1,0.7777777777777778
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,7,1,0.7777777777777778
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cr,2,1,0.2222222222222222
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cpr,3,0,0.3333333333333333
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dr,0,0,0.0
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dcr,1,0,0.1111111111111111
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dcpr,0,0,0.0
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,r,2,0,0.13333333333333333
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,11,5,0.7333333333333333
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,5,0,0.3333333333333333
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,sc_cr,5,1,0.3333333333333333
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,sc_cpr,3,0,0.2
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dr,2,0,0.13333333333333333
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dcr,3,1,0.2
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dcpr,2,0,0.13333333333333333
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,r,8,0,0.16
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cr,28,5,0.56
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,31,8,0.62
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,sc_cr,13,1,0.26
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,sc_cpr,12,0,0.24
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dr,9,1,0.18
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dcr,12,1,0.24
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dcpr,15,3,0.3
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,r,3,0,0.3
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cr,7,0,0.7
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cpr,7,0,0.7
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,sc_cr,3,0,0.3
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,sc_cpr,3,0,0.3
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,sc_dr,2,0,0.2
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,sc_dcr,3,0,0.3
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,sc_dcpr,4,1,0.4
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,r,1,0,0.05263157894736842
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cr,12,2,0.631578947368421
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cpr,11,0,0.5789473684210527
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,sc_cr,3,0,0.15789473684210525
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,sc_cpr,3,0,0.15789473684210525
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,sc_dr,5,1,0.2631578947368421
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,sc_dcr,5,0,0.2631578947368421
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,sc_dcpr,9,3,0.47368421052631576
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,9,1,0.36
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,14,2,0.56
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,14,4,0.56
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_cr,11,1,0.44
