model_id,benchmark_id,protocol,total_tasks,common_complete_tasks,excluded_tasks,correct,end_to_end_tokens,pareto_efficient,dominated_by
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,direct,1136,1125,11,435,583608,true,[]
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,1136,1125,11,433,1479662,false,"[""direct"",""dr"",""dcr"",""dcpr""]"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,1136,1125,11,368,3238490,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,1136,1125,11,349,4587652,false,"[""direct"",""r"",""cr"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr,1136,1125,11,435,1149637,false,"[""direct""]"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr,1136,1125,11,435,1149637,false,"[""direct""]"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr,1136,1125,11,435,1149637,false,"[""direct""]"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cr,1136,1125,11,413,1544809,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_dr""]"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cpr,1136,1125,11,250,1806869,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,1136,1125,11,435,1538209,false,"[""direct"",""dr"",""dcr"",""dcpr""]"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,1136,1125,11,432,1558176,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_dr""]"
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,1136,1125,11,425,1577185,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_dr"",""sc_dcr""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,direct,163,160,3,125,79485,true,[]
deepseek-coder-v2-lite-instruct,humaneval_plus,r,163,160,3,124,202098,false,"[""direct"",""dr"",""dcr"",""dcpr""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,163,160,3,115,377610,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,163,160,3,111,518155,false,"[""direct"",""r"",""cr"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,dr,163,160,3,125,156480,false,"[""direct""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,dcr,163,160,3,125,156480,false,"[""direct""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr,163,160,3,125,156480,false,"[""direct""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cr,163,160,3,121,218544,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cpr,163,160,3,99,237700,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dr,163,160,3,125,210622,false,"[""direct"",""dr"",""dcr"",""dcpr""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dcr,163,160,3,125,213734,false,"[""direct"",""dr"",""dcr"",""dcpr"",""sc_dr""]"
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dcpr,163,160,3,124,215490,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_dr"",""sc_dcr""]"
deepseek-coder-v2-lite-instruct,mbpp_plus,direct,378,373,5,276,104045,true,[]
deepseek-coder-v2-lite-instruct,mbpp_plus,r,378,373,5,277,261912,true,[]
deepseek-coder-v2-lite-instruct,mbpp_plus,cr,378,373,5,235,503481,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,378,373,5,224,704133,false,"[""direct"",""r"",""cr"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
deepseek-coder-v2-lite-instruct,mbpp_plus,dr,378,373,5,276,202512,false,"[""direct""]"
deepseek-coder-v2-lite-instruct,mbpp_plus,dcr,378,373,5,276,202512,false,"[""direct""]"
deepseek-coder-v2-lite-instruct,mbpp_plus,dcpr,378,373,5,276,202512,false,"[""direct""]"
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_cr,378,373,5,275,269982,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr""]"
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_cpr,378,373,5,269,278672,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr""]"
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dr,378,373,5,274,282241,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr""]"
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dcr,378,373,5,271,290416,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_dr""]"
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dcpr,378,373,5,269,294593,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr""]"
devstral-small-2-24b-instruct,bigcodebench_instruct,direct,1136,1132,4,537,540578,true,[]
devstral-small-2-24b-instruct,bigcodebench_instruct,r,1136,1132,4,541,1370402,true,[]
devstral-small-2-24b-instruct,bigcodebench_instruct,cr,1136,1132,4,456,2984037,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,1136,1132,4,429,4349146,false,"[""direct"",""r"",""cr"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
devstral-small-2-24b-instruct,bigcodebench_instruct,dr,1136,1132,4,539,1100759,true,[]
devstral-small-2-24b-instruct,bigcodebench_instruct,dcr,1136,1132,4,537,1174312,false,"[""direct"",""dr""]"
devstral-small-2-24b-instruct,bigcodebench_instruct,dcpr,1136,1132,4,539,1237126,false,"[""dr""]"
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_cr,1136,1132,4,543,1394132,true,[]
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_cpr,1136,1132,4,540,1404299,false,"[""r"",""sc_cr""]"
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dr,1136,1132,4,541,1432028,false,"[""r"",""sc_cr""]"
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dcr,1136,1132,4,541,1448943,false,"[""r"",""sc_cr"",""sc_dr""]"
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dcpr,1136,1132,4,537,1472113,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr""]"
devstral-small-2-24b-instruct,humaneval_plus,direct,163,161,2,138,67388,true,[]
devstral-small-2-24b-instruct,humaneval_plus,r,163,161,2,141,173280,true,[]
devstral-small-2-24b-instruct,humaneval_plus,cr,163,161,2,136,331021,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
devstral-small-2-24b-instruct,humaneval_plus,cpr,163,161,2,134,469093,false,"[""direct"",""r"",""cr"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
devstral-small-2-24b-instruct,humaneval_plus,dr,163,161,2,138,145340,false,"[""direct""]"
devstral-small-2-24b-instruct,humaneval_plus,dcr,163,161,2,140,170391,true,[]
devstral-small-2-24b-instruct,humaneval_plus,dcpr,163,161,2,139,182709,false,"[""r"",""dcr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr""]"
devstral-small-2-24b-instruct,humaneval_plus,sc_cr,163,161,2,141,173398,false,"[""r""]"
devstral-small-2-24b-instruct,humaneval_plus,sc_cpr,163,161,2,141,175791,false,"[""r"",""sc_cr""]"
devstral-small-2-24b-instruct,humaneval_plus,sc_dr,163,161,2,139,177661,false,"[""r"",""dcr"",""sc_cr"",""sc_cpr""]"
devstral-small-2-24b-instruct,humaneval_plus,sc_dcr,163,161,2,141,180166,false,"[""r"",""sc_cr"",""sc_cpr""]"
devstral-small-2-24b-instruct,humaneval_plus,sc_dcpr,163,161,2,137,187622,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr""]"
devstral-small-2-24b-instruct,mbpp_plus,direct,378,374,4,264,88850,true,[]
devstral-small-2-24b-instruct,mbpp_plus,r,378,374,4,265,220362,false,"[""dcr"",""dcpr""]"
devstral-small-2-24b-instruct,mbpp_plus,cr,378,374,4,262,466755,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
devstral-small-2-24b-instruct,mbpp_plus,cpr,378,374,4,253,699426,false,"[""direct"",""r"",""cr"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
devstral-small-2-24b-instruct,mbpp_plus,dr,378,374,4,264,179282,false,"[""direct""]"
devstral-small-2-24b-instruct,mbpp_plus,dcr,378,374,4,267,200372,true,[]
devstral-small-2-24b-instruct,mbpp_plus,dcpr,378,374,4,266,217698,false,"[""dcr""]"
devstral-small-2-24b-instruct,mbpp_plus,sc_cr,378,374,4,265,228079,false,"[""r"",""dcr"",""dcpr""]"
devstral-small-2-24b-instruct,mbpp_plus,sc_cpr,378,374,4,264,231613,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr""]"
devstral-small-2-24b-instruct,mbpp_plus,sc_dr,378,374,4,266,240738,false,"[""dcr"",""dcpr""]"
devstral-small-2-24b-instruct,mbpp_plus,sc_dcr,378,374,4,263,245988,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr""]"
devstral-small-2-24b-instruct,mbpp_plus,sc_dcpr,378,374,4,264,254734,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr""]"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,direct,1136,1136,0,569,743875,true,[]
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,1136,1136,0,574,1945332,true,[]
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,1136,1136,0,560,3050028,false,"[""direct"",""r"",""dr"",""dcr"",""dcpr"",""sc_cr"",""sc_cpr"",""sc_dr"",""sc_dcr"",""sc_dcpr""]"
