call_record_id,model_display_name,benchmark_id,upstream_task_id,stage,reported_status,finish_reason,source_registry_path,source_sha256,exported_path
call_00f73c831c0d1b136a60fa55,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/773,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_00f73c831c0d1b136a60fa55.response,8f2a9e6f2626619007497b71cd6d319c607f670cc3c6ab6a09e5789d9c60a93a,data/selected_raw_response_evidence/responses/call_00f73c831c0d1b136a60fa55.response
call_012457d95e36d93810937273,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/607,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_012457d95e36d93810937273.response,32b01c6f4006070444b03cceaa60e0d5643e405101fe489d5b7cb8b0f1a9e719,data/selected_raw_response_evidence/responses/call_012457d95e36d93810937273.response
call_013770fda604bd3a4440386d,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/945,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_013770fda604bd3a4440386d.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_013770fda604bd3a4440386d.response
call_02035a6a17c44977ddbf4008,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/46,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_02035a6a17c44977ddbf4008.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_02035a6a17c44977ddbf4008.response
call_046aac0fb52a2b18ce272e7b,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/440,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_046aac0fb52a2b18ce272e7b.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_046aac0fb52a2b18ce272e7b.response
call_0527f3863f56b65f186d1271,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/351,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_0527f3863f56b65f186d1271.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_0527f3863f56b65f186d1271.response
call_0631767322e499ce337d83e4,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/942,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_0631767322e499ce337d83e4.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_0631767322e499ce337d83e4.response
call_0664a5cefd688a3a6b78ad8c,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/877,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_0664a5cefd688a3a6b78ad8c.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_0664a5cefd688a3a6b78ad8c.response
call_07d9a036fd814bcf0bbb8eed,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/42,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_07d9a036fd814bcf0bbb8eed.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_07d9a036fd814bcf0bbb8eed.response
call_08c70cfa1f942ee861297936,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/197,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_08c70cfa1f942ee861297936.response,870cc63b1388a42eaf456dc40efd7359638e8eacc323f350d2517596d6256ef3,data/selected_raw_response_evidence/responses/call_08c70cfa1f942ee861297936.response
