sensitivity,model_id,benchmark_id,always_refine_protocol,decision_protocol,initial_determinate,initial_pass_rate,resolved_decisions_in_sensitivity,excluded_adjudicated,excluded_normalized,unresolved_or_missing_decisions,correct_preserve,correct_decision_denominator,correct_preserve_rate,incorrect_refine,incorrect_decision_denominator,incorrect_refine_rate,prevented_regression,safe_preservation,missed_repair,unsuccessful_refinement_skipped,net_token_saving_total,net_token_saving_mean,lhs_protocol,rhs_protocol,total_tasks,paired_complete,excluded,excluded_reasons,paired_difference,bootstrap_ci_low,bootstrap_ci_high,improved,worsened,unchanged,mcnemar_exact_two_sided_p,lhs_pass_rate,rhs_pass_rate
all_resolved,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,dr,1128,0.38563829787234044,1135,0,0,1,435,435,1.0,0,693,0.0,4,431,2,691,334198,294.44757709251104,r,dr,1135,1128,7,"{""indeterminate_functional_outcome"":7}",0.0017730496453900709,-0.0026595744680851063,0.0062056737588652485,4,2,1122,0.6875,0.38386524822695034,0.38563829787234044
all_resolved,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,dcr,1128,0.38563829787234044,1135,0,0,1,435,435,1.0,0,693,0.0,100,335,33,659,2113401,1862.0273127753303,cr,dcr,1135,1127,8,"{""indeterminate_functional_outcome"":8}",0.05944986690328305,0.03992901508429459,0.07897071872227152,100,33,994,4.962954006694652e-09,0.32653061224489793,0.385980479148181
all_resolved,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,dcpr,1128,0.38563829787234044,1135,0,0,1,435,435,1.0,0,693,0.0,114,321,28,663,3478953,3065.1568281938326,cpr,dcpr,1135,1126,9,"{""indeterminate_functional_outcome"":9}",0.0763765541740675,0.056838365896980464,0.09680284191829484,114,28,984,1.6409152229734992e-13,0.3099467140319716,0.38632326820603907
all_resolved,deepseek-coder-v2-lite-instruct,humaneval_plus,r,dr,162,0.7777777777777778,163,0,0,0,126,126,1.0,0,36,0.0,2,124,1,35,46595,285.8588957055215,r,dr,163,162,1,"{""indeterminate_functional_outcome"":1}",0.006172839506172839,-0.012345679012345678,0.030864197530864196,2,1,159,1.0,0.7716049382716049,0.7777777777777778
all_resolved,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,dcr,162,0.7777777777777778,163,0,0,0,126,126,1.0,0,36,0.0,17,108,7,28,225306,1382.2453987730062,cr,dcr,163,160,3,"{""indeterminate_functional_outcome"":3}",0.0625,0.00625,0.125,17,7,136,0.06391465663909912,0.71875,0.78125
all_resolved,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,dcpr,162,0.7777777777777778,163,0,0,0,126,126,1.0,0,36,0.0,21,104,7,28,369260,2265.398773006135,cpr,dcpr,163,160,3,"{""indeterminate_functional_outcome"":3}",0.0875,0.025,0.15625,21,7,132,0.012540951371192932,0.69375,0.78125
all_resolved,deepseek-coder-v2-lite-instruct,mbpp_plus,r,dr,374,0.7379679144385026,378,0,0,0,276,276,1.0,0,98,0.0,1,275,2,96,60411,159.81746031746033,r,dr,378,374,4,"{""indeterminate_functional_outcome"":4}",-0.00267379679144385,-0.0106951871657754,0.0053475935828877,1,2,371,1.0,0.7406417112299465,0.7379679144385026
all_resolved,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,dcr,374,0.7379679144385026,378,0,0,0,276,276,1.0,0,98,0.0,52,224,11,86,306140,809.8941798941798,cr,dcr,378,373,5,"{""indeterminate_functional_outcome"":5}",0.10991957104557641,0.06970509383378017,0.15013404825737264,52,11,310,1.6734991187261627e-07,0.6300268096514745,0.739946380697051
all_resolved,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,dcpr,374,0.7379679144385026,378,0,0,0,276,276,1.0,0,98,0.0,57,219,5,93,510251,1349.8703703703704,cpr,dcpr,378,374,4,"{""indeterminate_functional_outcome"":4}",0.13903743315508021,0.10160427807486631,0.17914438502673796,57,5,312,3.0655256978706635e-12,0.5989304812834224,0.7379679144385026
all_resolved,devstral-small-2-24b-instruct,bigcodebench_instruct,r,dr,1136,0.4735915492957746,1136,0,0,0,533,538,0.9907063197026023,40,598,0.06688963210702341,3,530,5,553,270879,238.44982394366198,r,dr,1136,1136,0,{},-0.0017605633802816902,-0.007042253521126761,0.002640845070422535,3,5,1128,0.7265625,0.477112676056338,0.4753521126760563
