model_id,benchmark_id,lhs_protocol,rhs_protocol,total_tasks,paired_complete,excluded,excluded_reasons,paired_difference,bootstrap_ci_low,bootstrap_ci_high,improved,worsened,unchanged,mcnemar_exact_two_sided_p,lhs_pass_rate,rhs_pass_rate
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,direct,r,1136,1129,7,"{""indeterminate_functional_outcome"":7}",-0.001771479185119575,-0.006200177147918512,0.002657218777679362,2,4,1123,0.6875,0.3852967227635075,0.38352524357838796
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,cr,1136,1128,8,"{""indeterminate_functional_outcome"":8}",-0.057624113475177305,-0.07624113475177305,-0.038120567375886524,31,96,1001,6.327437536723092e-09,0.38386524822695034,0.3262411347517731
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,cpr,1136,1129,7,"{""indeterminate_functional_outcome"":7}",-0.01682905225863596,-0.0283436669619132,-0.006200177147918512,11,30,1088,0.00432400493446039,0.3259521700620018,0.3091231178033658
deepseek-coder-v2-lite-instruct,humaneval_plus,direct,r,163,162,1,"{""indeterminate_functional_outcome"":1}",-0.006172839506172839,-0.030864197530864196,0.012345679012345678,1,2,159,1.0,0.7777777777777778,0.7716049382716049
deepseek-coder-v2-lite-instruct,humaneval_plus,r,cr,163,160,3,"{""indeterminate_functional_outcome"":3}",-0.05625,-0.11875,0.0,7,16,137,0.0931396484375,0.775,0.71875
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,cpr,163,160,3,"{""indeterminate_functional_outcome"":3}",-0.025,-0.06875,0.01875,4,8,148,0.3876953125,0.71875,0.69375
deepseek-coder-v2-lite-instruct,mbpp_plus,direct,r,378,374,4,"{""indeterminate_functional_outcome"":4}",0.00267379679144385,-0.0053475935828877,0.013368983957219251,2,1,371,1.0,0.7379679144385026,0.7406417112299465
deepseek-coder-v2-lite-instruct,mbpp_plus,r,cr,378,373,5,"{""indeterminate_functional_outcome"":5}",-0.1126005361930295,-0.15281501340482573,-0.07238605898123325,10,52,311,5.713613733093065e-08,0.7426273458445041,0.6300268096514745
deepseek-coder-v2-lite-instruct,mbpp_plus,cr,cpr,378,374,4,"{""indeterminate_functional_outcome"":4}",-0.029411764705882353,-0.058823529411764705,-0.00267379679144385,9,20,345,0.06142834573984146,0.6283422459893048,0.5989304812834224
devstral-small-2-24b-instruct,bigcodebench_instruct,direct,r,1136,1136,0,{},0.0035211267605633804,-0.002640845070422535,0.009683098591549295,8,4,1124,0.3876953125,0.4735915492957746,0.477112676056338
devstral-small-2-24b-instruct,bigcodebench_instruct,r,cr,1136,1134,2,"{""indeterminate_functional_outcome"":2}",-0.07495590828924162,-0.09523809523809523,-0.05555555555555555,26,111,997,1.0497375514568333e-13,0.47707231040564374,0.4021164021164021
devstral-small-2-24b-instruct,bigcodebench_instruct,cr,cpr,1136,1132,4,"{""indeterminate_functional_outcome"":4}",-0.023851590106007067,-0.037985865724381625,-0.009717314487632508,20,47,1065,0.0013071686857636005,0.4028268551236749,0.3789752650176678
devstral-small-2-24b-instruct,humaneval_plus,direct,r,163,161,2,"{""indeterminate_functional_outcome"":2}",0.018633540372670808,0.0,0.043478260869565216,3,0,158,0.25,0.8571428571428571,0.8757763975155279
devstral-small-2-24b-instruct,humaneval_plus,r,cr,163,161,2,"{""indeterminate_functional_outcome"":2}",-0.031055900621118012,-0.08074534161490683,0.018633540372670808,6,11,144,0.332305908203125,0.8757763975155279,0.84472049689441
devstral-small-2-24b-instruct,humaneval_plus,cr,cpr,163,161,2,"{""indeterminate_functional_outcome"":2}",-0.012422360248447204,-0.043478260869565216,0.018633540372670808,2,4,155,0.6875,0.84472049689441,0.8322981366459627
devstral-small-2-24b-instruct,mbpp_plus,direct,r,378,377,1,"{""indeterminate_functional_outcome"":1}",0.002652519893899204,0.0,0.007957559681697613,1,0,376,1.0,0.7002652519893899,0.7029177718832891
devstral-small-2-24b-instruct,mbpp_plus,r,cr,378,376,2,"{""indeterminate_functional_outcome"":2}",-0.007978723404255319,-0.034574468085106384,0.018617021276595744,11,14,351,0.6900379657745361,0.7047872340425532,0.6968085106382979
devstral-small-2-24b-instruct,mbpp_plus,cr,cpr,378,377,1,"{""indeterminate_functional_outcome"":1}",-0.023872679045092837,-0.042440318302387266,-0.007957559681697613,1,10,366,0.01171875,0.6949602122015915,0.6710875331564987
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,direct,r,1136,1136,0,{},0.0044014084507042256,-0.0017605633802816902,0.01056338028169014,9,4,1123,0.266845703125,0.5008802816901409,0.5052816901408451
