model_id,benchmark_id,protocol,paired_complete,excluded,label_enforced_minus_emitted,bootstrap_ci_low,bootstrap_ci_high,improved,worsened,unchanged,mcnemar_exact_two_sided_p
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,1128,8,0.0008865248226950354,-0.004432624113475178,0.0062056737588652485,5,4,1119,1.0
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,1123,13,0.0026714158504007124,-0.0017809439002671415,0.007123775601068566,5,2,1116,0.453125
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,1110,26,0.0009009009009009009,-0.002702702702702703,0.0045045045045045045,3,2,1105,1.0
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dr,162,1,0.0,0.0,0.0,0,0,162,
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dcr,161,2,0.006211180124223602,0.0,0.018633540372670808,1,0,160,1.0
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_dcpr,160,3,0.00625,0.0,0.01875,1,0,159,1.0
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dr,373,5,0.002680965147453083,-0.00804289544235925,0.0160857908847185,3,2,368,1.0
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dcr,365,13,-0.0027397260273972603,-0.00821917808219178,0.0,0,1,364,1.0
deepseek-coder-v2-lite-instruct,mbpp_plus,sc_dcpr,362,16,-0.0055248618784530384,-0.013812154696132596,0.0,0,2,360,0.5
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dr,1136,0,0.0008802816901408451,0.0,0.002640845070422535,1,0,1135,1.0
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dcr,1136,0,0.0017605633802816902,0.0,0.0044014084507042256,2,0,1134,0.5
devstral-small-2-24b-instruct,bigcodebench_instruct,sc_dcpr,1135,1,0.0,0.0,0.0,0,0,1135,
devstral-small-2-24b-instruct,humaneval_plus,sc_dr,161,2,0.0,0.0,0.0,0,0,161,
devstral-small-2-24b-instruct,humaneval_plus,sc_dcr,161,2,0.0,0.0,0.0,0,0,161,
devstral-small-2-24b-instruct,humaneval_plus,sc_dcpr,158,5,0.0,0.0,0.0,0,0,158,
devstral-small-2-24b-instruct,mbpp_plus,sc_dr,375,3,0.0,0.0,0.0,0,0,375,
devstral-small-2-24b-instruct,mbpp_plus,sc_dcr,375,3,0.0,0.0,0.0,0,0,375,
devstral-small-2-24b-instruct,mbpp_plus,sc_dcpr,373,5,0.0,0.0,0.0,0,0,373,
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dr,1136,0,0.0,0.0,0.0,0,0,1136,
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dcr,1136,0,0.0008802816901408451,0.0,0.002640845070422535,1,0,1135,1.0
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dcpr,1135,1,0.0,0.0,0.0,0,0,1135,
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dr,160,3,0.0,0.0,0.0,0,0,160,
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dcr,160,3,0.0,0.0,0.0,0,0,160,
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dcpr,160,3,0.0,0.0,0.0,0,0,160,
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dr,375,3,0.0,0.0,0.0,0,0,375,
