model_id,benchmark_id,lhs_protocol,rhs_protocol,common_complete_tasks,additional_correct,additional_tokens,tokens_per_additional_correct,undefined_reason
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,direct,r,1128,-2,899411,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,cr,1127,-65,1763421,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,cpr,1128,-19,1354036,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,dr,1128,2,-331301,-165650.5,
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,dcr,1127,67,-2094394,-31259.611940298506,
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,dcpr,1126,86,-3443334,-40038.767441860466,
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,sc_cr,1127,45,-1697988,-37733.066666666666,
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,sc_cpr,1126,-99,-2784184,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr,sc_dr,1128,0,390009,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr,sc_dcr,1128,-3,410018,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1128,-10,429053,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,humaneval_plus,direct,r,162,-1,124465,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,humaneval_plus,r,cr,160,-9,175512,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,cpr,160,-4,140545,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,humaneval_plus,r,dr,162,1,-46235,-46235.0,
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,dcr,160,10,-221130,-22113.0,
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,dcpr,160,14,-361675,-25833.928571428572,
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,sc_cr,160,6,-159066,-26511.0,
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,sc_cpr,160,-12,-280455,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,humaneval_plus,dr,sc_dr,162,0,54866,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,humaneval_plus,dcr,sc_dcr,162,0,58006,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr,sc_dcpr,162,-1,59780,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,mbpp_plus,direct,r,374,1,158352,158352.0,
deepseek-coder-v2-lite-instruct,mbpp_plus,r,cr,373,-42,241569,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,mbpp_plus,cr,cpr,374,-11,201420,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,mbpp_plus,r,dr,374,-1,-59596,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,mbpp_plus,cr,dcr,373,41,-300969,-7340.707317073171,
deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,dcpr,374,52,-503014,-9673.346153846154,
deepseek-coder-v2-lite-instruct,mbpp_plus,cr,sc_cr,373,40,-233499,-5837.475,
deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,sc_cpr,374,45,-426628,-9480.622222222222,
deepseek-coder-v2-lite-instruct,mbpp_plus,dr,sc_dr,374,-2,79978,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,mbpp_plus,dcr,sc_dcr,374,-5,88494,,no_positive_increment_in_correct_solutions
deepseek-coder-v2-lite-instruct,mbpp_plus,dcpr,sc_dcpr,374,-7,92810,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,bigcodebench_instruct,direct,r,1136,4,833223,208305.75,
devstral-small-2-24b-instruct,bigcodebench_instruct,r,cr,1134,-85,1617781,,no_positive_increment_in_correct_solutions
