scope,model_id,benchmark_id,repairing_protocol_count,model_task_units
pooled,,,0,4016
pooled,,,1,112
pooled,,,2,121
pooled,,,3,30
pooled,,,4,19
pooled,,,5,12
pooled,,,6,9
pooled,,,7,11
pooled,,,8,23
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,0,649
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,1,12
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,2,23
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,3,2
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,4,2
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,5,1
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,6,1
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,8,1
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,0,26
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,1,3
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,2,3
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,3,1
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,4,1
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,5,1
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,0,82
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,1,7
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,2,5
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,4,1
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,5,1
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,7,1
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,0,545
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,1,19
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,2,18
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,3,3
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,4,1
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,5,1
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,6,3
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,7,3
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,8,2
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,0,13
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,1,1
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,2,5
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,3,1
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,4,1
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,6,1
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,8,1
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,0,93
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,1,6
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,2,8
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,3,2
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,6,1
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,7,1
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,8,1
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,0,542
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,1,10
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,2,4
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,3,1
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,4,1
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,5,4
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,6,1
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,7,2
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,8,2
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,0,5
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,0,64
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,2,4
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,3,1
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,4,1
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,6,1
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,8,3
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,0,558
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,1,4
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,2,9
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,3,2
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,5,2
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,6,1
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,8,1
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,0,15
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,1,1
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,2,1
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,4,1
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,7,1
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,0,73
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,1,4
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,2,6
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,3,3
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,4,1
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,7,1
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,8,2
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,0,633
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,1,9
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,2,13
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,3,4
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,4,2
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,5,1
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,7,1
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,8,7
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,0,18
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,1,1
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,3,1
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,8,1
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,0,89
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,1,1
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,2,1
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,3,1
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,4,2
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,8,1
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,0,524
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,1,30
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,2,10
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,3,3
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,4,3
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,5,1
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,7,1
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,8,1
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,0,13
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,1,2
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,2,4
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,3,2
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,4,1
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,0,74
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,1,2
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,2,7
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,3,3
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,4,1
