scope,model_id,benchmark_id,left_protocol,right_protocol,common_complete,avoided_left_regressions,new_right_regressions,lost_left_repairs,new_right_repairs,regression_control_contribution,repair_churn_contribution,net_correct_difference_count
pooled,,,cr,sc_cr,10021,571,39,172,36,532,-136,396
pooled,,,cpr,sc_cpr,10018,630,193,152,37,437,-115,322
pooled,,,dr,sc_dr,10032,1,33,3,42,-32,39,7
pooled,,,dcr,sc_dcr,10028,58,48,47,42,10,-5,5
pooled,,,dcpr,sc_dcpr,10026,54,86,37,60,-32,23,-9
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,sc_cr,1128,84,13,29,3,71,-26,45
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,sc_cpr,1126,57,134,24,2,-77,-22,-99
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr,sc_dr,1129,0,6,0,6,-6,6,0
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr,sc_dcr,1129,0,8,0,5,-8,5,-3
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1129,0,14,0,4,-14,4,-10
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,sc_cr,160,15,4,6,1,11,-5,6
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,sc_cpr,160,16,24,4,0,-8,-4,-12
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,dr,sc_dr,162,0,0,0,0,0,0,0
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,dcr,sc_dcr,162,0,1,0,1,-1,1,0
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr,sc_dcpr,162,0,1,0,0,-1,0,-1
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,sc_cr,373,49,3,9,3,46,-6,40
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,sc_cpr,374,54,7,3,1,47,-2,45
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,dr,sc_dr,374,0,4,0,2,-4,2,-2
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,dcr,sc_dcr,374,0,8,0,3,-8,3,-5
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,dcpr,sc_dcpr,374,0,9,0,2,-9,2,-7
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cr,sc_cr,1134,104,2,22,7,102,-15,87
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,sc_cpr,1133,134,4,25,6,130,-19,111
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,dr,sc_dr,1136,1,5,0,6,-4,6,2
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,dcr,sc_dcr,1136,1,7,1,11,-6,10,4
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1135,1,14,3,14,-13,11,-2
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cr,sc_cr,161,9,0,6,2,9,-4,5
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cpr,sc_cpr,161,11,0,6,2,11,-4,7
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,dr,sc_dr,161,0,1,0,2,-1,2,1
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,dcr,sc_dcr,161,0,0,1,2,0,1,1
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,dcpr,sc_dcpr,161,1,5,1,3,-4,2,-2
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cr,sc_cr,376,12,0,9,0,12,-9,3
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cpr,sc_cpr,376,19,0,8,0,19,-8,11
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,dr,sc_dr,377,0,3,0,5,-3,5,2
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,dcr,sc_dcr,376,0,5,3,4,-5,1,-4
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,dcpr,sc_dcpr,376,0,7,2,7,-7,5,-2
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,sc_cr,1136,17,4,7,4,13,-3,10
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,sc_cpr,1136,20,2,8,5,18,-3,15
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dr,sc_dr,1136,0,1,0,4,-1,4,3
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcr,sc_dcr,1136,10,2,4,3,8,-1,7
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcpr,sc_dcpr,1136,11,0,2,5,11,3,14
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,sc_cr,161,5,1,0,0,4,0,4
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,sc_cpr,161,5,1,0,0,4,0,4
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,dr,sc_dr,161,0,1,0,0,-1,0,-1
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,dcr,sc_dcr,161,2,1,0,0,1,0,1
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,dcpr,sc_dcpr,161,2,1,0,0,1,0,1
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,sc_cr,377,6,1,3,0,5,-3,2
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,sc_cpr,377,7,1,3,0,6,-3,3
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,dr,sc_dr,377,0,0,0,2,0,2,2
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,dcr,sc_dcr,377,1,0,2,1,1,-1,0
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,dcpr,sc_dcpr,377,1,1,2,2,0,0,0
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,sc_cr,1136,17,3,11,5,14,-6,8
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,sc_cpr,1135,15,3,9,5,12,-4,8
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,dr,sc_dr,1136,0,0,1,2,0,1,1
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcr,sc_dcr,1136,2,0,5,2,2,-3,-1
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1136,2,0,6,2,2,-4,-2
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cr,sc_cr,161,4,0,2,0,4,-2,2
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cpr,sc_cpr,161,3,0,2,1,3,-1,2
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,dr,sc_dr,161,0,0,0,1,0,1,1
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,dcr,sc_dcr,161,0,1,1,1,-1,0,-1
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,dcpr,sc_dcpr,161,0,1,2,1,-1,-1,-2
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cr,sc_cr,377,6,0,7,5,6,-2,4
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cpr,sc_cpr,377,6,0,5,4,6,-1,5
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,dr,sc_dr,377,0,0,1,2,0,1,1
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,dcr,sc_dcr,377,1,0,8,0,1,-8,-7
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,dcpr,sc_dcpr,377,2,0,4,0,2,-4,-2
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,sc_cr,1136,19,5,16,5,14,-11,3
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,sc_cpr,1136,17,1,13,4,16,-9,7
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,dr,sc_dr,1136,0,4,0,7,-4,7,3
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,dcr,sc_dcr,1136,4,1,7,7,3,0,3
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1136,1,8,4,11,-7,7,0
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cr,sc_cr,161,7,1,2,0,6,-2,4
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cpr,sc_cpr,161,6,1,1,0,5,-1,4
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,dr,sc_dr,161,0,0,0,0,0,0,0
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,dcr,sc_dcr,161,2,1,1,0,1,-1,0
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,dcpr,sc_dcpr,161,0,0,0,0,0,0,0
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cr,sc_cr,374,5,1,4,0,4,-4,0
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cpr,sc_cpr,374,7,1,4,0,6,-4,2
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,dr,sc_dr,375,0,1,0,1,-1,1,0
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,dcr,sc_dcr,375,2,0,2,0,2,-2,0
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,dcpr,sc_dcpr,373,0,2,2,1,-2,-1,-3
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,sc_cr,1135,158,0,24,1,158,-23,135
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,sc_cpr,1135,193,3,27,2,190,-25,165
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dr,sc_dr,1136,0,4,1,1,-4,0,-4
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dcr,sc_dcr,1135,26,3,8,2,23,-6,17
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dcpr,sc_dcpr,1135,26,17,8,5,9,-3,6
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,sc_cr,160,12,0,6,0,12,-6,6
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr,sc_cpr,160,14,4,3,2,10,-1,9
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dr,sc_dr,160,0,0,0,0,0,0,0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dcr,sc_dcr,160,3,2,1,0,1,-1,0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dcpr,sc_dcpr,160,3,2,1,1,1,0,1
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,sc_cr,375,42,1,9,0,41,-9,32
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr,sc_cpr,375,46,7,7,3,39,-4,35
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dr,sc_dr,377,0,3,0,1,-3,1,-2
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dcr,sc_dcr,375,4,8,3,0,-4,-3,-7
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dcpr,sc_dcpr,376,4,4,0,2,0,2,2
